sum,mean,err
2.27207,1.76221,0.0386964
2.27207,1.76316,0.0386363
2.53799,1.76459,0.0385915
1.79597,1.76464,0.0385204
0.752235,1.76278,0.0384945
0.721116,1.76087,0.0384713
0.721116,1.75897,0.038448
1.29029,1.75811,0.0383872
1.29029,1.75726,0.0383266
1.29029,1.75641,0.0382662
1.29029,1.75556,0.0382059
1.29029,1.75471,0.0381459
1.29029,1.75387,0.038086
1.83813,1.75402,0.0380174
2.00665,1.75448,0.0379514
1.55196,1.75412,0.0378847
1.55196,1.75375,0.0378183
1.55196,1.75339,0.0377521
1.55196,1.75303,0.0376861
1.65416,1.75285,0.037619
1.07204,1.75164,0.0375715
1.07204,1.75042,0.037524
0.542837,1.74828,0.0375187
0.689689,1.7464,0.0374992
0.689689,1.74452,0.0374795
0.689689,1.74266,0.0374597
1.11073,1.74154,0.0374101
1.11073,1.74043,0.0373606
1.11073,1.73932,0.0373113
1.11073,1.73821,0.037262
1.11073,1.73711,0.0372129
1.11073,1.73601,0.0371638
0.986607,1.7347,0.0371219
1.2843,1.73392,0.0370654
1.46543,1.73345,0.0370038
1.54917,1.73313,0.0369407
1.39298,1.73254,0.0368813
1.39298,1.73195,0.036822
1.39298,1.73136,0.0367629
0.720701,1.72962,0.0367409
1.02583,1.72841,0.0366975
1.02583,1.7272,0.0366543
0.477413,1.72505,0.0366542
0.477413,1.72291,0.0366538
0.477413,1.72078,0.0366531
0.477413,1.71865,0.036652
0.477413,1.71653,0.0366507
0.477413,1.71442,0.0366491
0.477413,1.71232,0.0366471
0.5863,1.71041,0.0366348
0.5863,1.7085,0.0366222
0.5863,1.7066,0.0366095
0.5863,1.70471,0.0365965
0.5863,1.70282,0.0365834
0.5863,1.70094,0.0365701
0.5863,1.69907,0.0365566
0.5863,1.6972,0.036543
0.5863,1.69534,0.0365291
0.5863,1.69349,0.0365151
0.913648,1.69219,0.0364773
0.913648,1.69089,0.0364396
0.740684,1.68931,0.0364133
0.740684,1.68773,0.0363869
1.24008,1.68699,0.0363341
1.24008,1.68625,0.0362814
1.73674,1.68633,0.0362215
1.73674,1.68642,0.0361618
1.80907,1.68662,0.0361027
1.62902,1.68652,0.0360434
1.62902,1.68643,0.0359843
2.46483,1.68771,0.0359479
2.89097,1.68967,0.035943
2.54636,1.69107,0.0359115
1.89429,1.69141,0.0358544
2.41362,1.69258,0.0358153
1.33584,1.692,0.0357617
1.33584,1.69142,0.0357083
1.48375,1.69109,0.035652
1.48375,1.69075,0.0355958
0.783615,1.68929,0.0355685
1.32005,1.68869,0.035516
1.32005,1.6881,0.0354638
1.32005,1.68751,0.0354117
1.71533,1.68755,0.0353548
1.71533,1.68759,0.0352981
1.71533,1.68764,0.0352416
1.04804,1.68662,0.0352001
1.04804,1.6856,0.0351587
1.04804,1.68458,0.0351173
1.04804,1.68357,0.0350761
0.677409,1.68197,0.0350567
0.652603,1.68034,0.0350391
0.652603,1.67872,0.0350214
0.652603,1.6771,0.0350036
0.99991,1.67603,0.0349647
0.30386,1.67387,0.0349764
0.30386,1.67171,0.0349877
0.30386,1.66957,0.0349987
0.30386,1.66743,0.0350093
0.30386,1.66529,0.0350195
0.30386,1.66316,0.0350294
0.30386,1.66104,0.035039
0.30386,1.65893,0.0350482
0.30386,1.65682,0.035057
0.736285,1.65539,0.0350317
0.736285,1.65397,0.0350064
0.736285,1.65255,0.034981
0.736285,1.65113,0.0349556
0.736285,1.64972,0.0349301
0.736285,1.64831,0.0349047
1.53174,1.64813,0.0348514
2.13435,1.64888,0.0348058
2.13435,1.64962,0.0347604
2.13435,1.65037,0.034715
2.13435,1.65111,0.0346698
2.23266,1.65199,0.0346282
2.23266,1.65288,0.0345867
2.23266,1.65376,0.0345453
2.23266,1.65464,0.034504
2.23266,1.65552,0.0344628
2.23266,1.65639,0.0344216
1.24079,1.65576,0.0343752
1.24079,1.65514,0.034329
1.19073,1.65444,0.0342843
0.829814,1.6532,0.0342552
0.926032,1.6521,0.0342211
0.809025,1.65084,0.0341931
0.809025,1.64957,0.0341651
0.809025,1.64832,0.0341372
0.803198,1.64705,0.0341095
0.803198,1.64579,0.0340818
1.03809,1.64489,0.0340431
1.03809,1.64398,0.0340043
1.03809,1.64308,0.0339657
1.10093,1.64228,0.0339248
0.570147,1.64069,0.0339117
0.570147,1.63911,0.0338986
1.78273,1.63932,0.0338491
1.78273,1.63953,0.0337998
1.78273,1.63974,0.0337507
1.13416,1.639,0.0337092
0.893608,1.6379,0.0336774
0.893608,1.63681,0.0336457
1.15662,1.63611,0.0336038
1.15662,1.63541,0.0335619
1.83316,1.6357,0.0335142
1.83316,1.63598,0.0334665
1.86859,1.63632,0.0334195
1.86859,1.63666,0.0333726
1.86859,1.637,0.0333258
1.86859,1.63733,0.0332792
1.86859,1.63767,0.0332326
1.86859,1.638,0.0331863
1.86859,1.63833,0.03314
1.86859,1.63867,0.0330939
1.86859,1.639,0.0330479
1.8399,1.63929,0.0330016
1.8399,1.63957,0.0329555
1.8399,1.63986,0.0329095
1.8399,1.64015,0.0328636
2.02293,1.64069,0.0328212
1.854,1.641,0.0327758
1.92434,1.6414,0.0327315
1.0467,1.64056,0.0326959
1.0467,1.63971,0.0326603
0.658334,1.63832,0.0326436
1.14776,1.63763,0.0326048
1.14776,1.63693,0.032566
0.904083,1.6359,0.0325364
1.06436,1.63509,0.0325005
1.70964,1.6352,0.0324549
1.48537,1.63499,0.0324099
1.48537,1.63478,0.032365
1.48537,1.63457,0.0323203
1.55568,1.63446,0.0322752
1.55568,1.63435,0.0322302
1.34636,1.63394,0.0321876
0.89473,1.63291,0.0321593
1.73741,1.63306,0.0321148
0.861199,1.63198,0.032088
0.861199,1.63091,0.0320613
0.792829,1.62975,0.0320379
0.497284,1.62818,0.0320319
0.320776,1.62637,0.0320387
0.320776,1.62457,0.0320452
0.320776,1.62277,0.0320514
0.320776,1.62098,0.0320574
0.320776,1.61919,0.0320632
0.320776,1.61741,0.0320688
0.320776,1.61563,0.0320741
0.320776,1.61385,0.0320792
0.506285,1.61234,0.0320711
0.506285,1.61083,0.0320629
0.506285,1.60932,0.0320546
1.09571,1.60862,0.0320185
1.09571,1.60792,0.0319826
1.09571,1.60723,0.0319467
1.06166,1.60649,0.0319119
1.7603,1.6067,0.0318693
1.38005,1.60639,0.0318276
1.71357,1.60653,0.0317849
1.71357,1.60668,0.0317423
1.71357,1.60682,0.0316998
1.9256,1.60725,0.03166
1.37902,1.60695,0.0316189
1.37902,1.60664,0.0315779
2.03305,1.60721,0.0315408
2.03305,1.60778,0.0315037
2.06684,1.60839,0.0314675
3.02993,1.61029,0.0314827
2.51394,1.6115,0.0314638
2.51394,1.6127,0.0314448
2.16496,1.61343,0.0314116
1.63434,1.61346,0.0313699
1.63434,1.61349,0.0313282
2.08435,1.61411,0.0312929
1.51289,1.61398,0.0312518
1.51289,1.61385,0.0312108
1.51289,1.61371,0.0311699
1.51289,1.61358,0.031129
1.3335,1.61321,0.0310902
1.81521,1.61348,0.0310505
2.02986,1.61402,0.0310145
1.95771,1.61447,0.0309771
2.46345,1.61558,0.0309565
2.46345,1.61669,0.0309359
1.38659,1.61639,0.0308969
1.38659,1.61609,0.0308581
1.38659,1.61579,0.0308193
1.80692,1.61604,0.0307802
